indicator,nonnull_cells
Machinery and transport equipment (% of value added in manufacturing),79
Other manufacturing (% of value added in manufacturing),79
"Primary education, teachers (% female)",79
Chemicals (% of value added in manufacturing),79
"Food, beverages and tobacco (% of value added in manufacturing)",79
Adjusted net national income (constant 2015 US$),79
Adjusted net national income per capita (constant 2015 US$),79
Textiles and clothing (% of value added in manufacturing),79
"Net ODA received (% of imports of goods, services and primary income)",78
Lifetime risk of maternal death (%),78
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",78
Lifetime risk of maternal death (1 in: rate varies by country),78
Number of maternal deaths,78
Adjusted net national income (annual % growth),77
"Services, value added (current LCU)",77
Adjusted net national income per capita (annual % growth),77
"Services, value added (% of GDP)",77
"Net official flows from UN agencies, UNHCR (current US$)",77
"Services, value added (current US$)",77
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",76
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",76
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",76
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,76
"Annual freshwater withdrawals, total (billion cubic meters)",76
"Annual freshwater withdrawals, total (% of internal resources)",76
"Secondary education, general pupils (% female)",75
Adjusted savings: net national savings (current US$),74
Adjusted savings: net national savings (% of GNI),74
Adjusted savings: gross savings (% of GNI),74
"School enrollment, primary (gross), gender parity index (GPI)",74
"Patent applications, nonresidents",73
"Patent applications, residents",73
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",72
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),72
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",72
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",72
"Labor force, total",72
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",72
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",72
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",72
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",72
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",72
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",72
"Labor force, female (% of total labor force)",72
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",72
"Foreign direct investment, net outflows (% of GDP)",71
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",71
"Foreign direct investment, net outflows (BoP, current US$)",71
"Personal remittances, paid (current US$)",71
"Portfolio Investment, net (BoP, current US$)",71
"Physicians (per 1,000 people)",71
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",70
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",70
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",70
Women's share of population ages 15+ living with HIV (%),70
"GNI per capita, PPP (current international $)",70
GDP deflator: linked series (base year varies by country),70
"PPP conversion factor, GDP (LCU per international $)",70
"Prevalence of HIV, male (% ages 15-24)",70
"Unemployment, female (% of female labor force) (modeled ILO estimate)",70
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",70
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",70
"Probability of dying among children ages 5-9 years (per 1,000)",70
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",70
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",70
Price level index (GDP),70
"Incidence of HIV, all (per 1,000 uninfected population)",70
GNI: linked series (current LCU),70
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",70
"Employment in industry, female (% of female employment) (modeled ILO estimate)",70
"Employment in services, male (% of male employment) (modeled ILO estimate)",70
"GDP, PPP (current international $)",70
"Self-employed, female (% of female employment) (modeled ILO estimate)",70
"Employers, female (% of female employment) (modeled ILO estimate)",70
Number of deaths ages 20-24 years,70
"Employers, total (% of total employment) (modeled ILO estimate)",70
"Prevalence of HIV, total (% of population ages 15-49)",70
Adults (ages 15-49) newly infected with HIV,70
